TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT3G09735	1311.5	1183.0308	2623	-0.1486		(not in atlas set)	False	
AT3G10030	757.2172	687.0922	1534	-0.14		(not in atlas set)	False	
AT3G10113	1274.5	1139.7688	2549	-0.1611		(not in atlas set)	False	
AT3G10480	1596.6151	1324.6882	2937	-0.2692		(not in atlas set)	False	ANAC050
AT3G10500	1354.5	1134.7454	2709	-0.2552		(not in atlas set)	False	ANAC053
AT3G10580	1434.2228	1289.6585	2878	-0.1532		(not in atlas set)	False	
AT3G10800	623.0	561.1787	1246	-0.1505		(not in atlas set)	False	BZIP28
AT3G11020	891.8375	800.6455	1754	-0.1554		(not in atlas set)	False	DREB2
AT3G11280	583.5955	535.1685	1173	-0.1248	rosette_21d_8	rosette_21d	True	
AT3G11440	1495.3956	1345.5972	3019	-0.1522		(not in atlas set)	False	ATMYB65
AT3G12130	1287.5	1191.5417	2575	-0.1117		(not in atlas set)	False	
AT3G12250	1797.9032	1608.7336	3600	-0.1603		(not in atlas set)	False	BZIP45
AT3G12720	1317.5	1175.6838	2635	-0.1642	seedling_15d_16	seedling_15d	True	ATMYB67
AT3G12730	1416.3823	1291.3348	2828	-0.1332		(not in atlas set)	False	
AT3G12820	440.9338	392.8935	895	-0.166		(not in atlas set)	False	AtMYB10
AT3G12910	44.5	40.3389	89	-0.1384		(not in atlas set)	False	
AT3G13040	53.5	47.809	107	-0.1591		(not in atlas set)	False	
AT3G13350	221.0	199.5215	442	-0.1468		(not in atlas set)	False	
AT3G13810	1147.3549	1040.1373	2265	-0.1414		(not in atlas set)	False	AtIDD11
AT3G15170	900.6593	747.035	1810	-0.2695		(not in atlas set)	False	ANAC054
AT3G15210	2475.0194	2279.5604	4692	-0.1186	seedling_15d_14	seedling_15d	True	ATERF-4
AT3G15270	1895.6975	1689.9714	3557	-0.1656		(not in atlas set)	False	SPL5
AT3G16280	1415.9167	1291.5435	2855	-0.1325		(not in atlas set)	False	
AT3G17730	1445.9716	1213.6602	2885	-0.2525		(not in atlas set)	False	anac057
AT3G18400	1857.6839	1562.2645	3549	-0.2497	silique_13	silique	True	anac058
AT3G18990	1563.039	1405.8053	3095	-0.1529		(not in atlas set)	False	REM39
AT3G20310	2336.7876	2140.989	4439	-0.1262		(not in atlas set)	False	ATERF-7
AT3G20770	591.4389	508.9704	1193	-0.2163	flower_11	flower	True	AtEIN3
AT3G20840	162.6674	154.4486	329	-0.0743		(not in atlas set)	False	PLT1
AT3G21175	448.2463	411.6538	892	-0.1226		(not in atlas set)	False	GATA24
AT3G21890	1456.5	1336.1571	2913	-0.1243	seed_3d_9	seed_3d	True	BBX31
AT3G22780	74.0	66.2801	148	-0.1567		(not in atlas set)	False	ATTSO1
AT3G22830	1297.5	1170.0351	2595	-0.1491		(not in atlas set)	False	AT-HSFA6B
AT3G23210	267.5	238.018	535	-0.1678		(not in atlas set)	False	bHLH34
AT3G23220	587.7156	550.1293	1173	-0.0952		(not in atlas set)	False	ESE1
AT3G23240	1035.9628	961.0554	2066	-0.1082		(not in atlas set)	False	ATERF1
AT3G23250	155.5	137.6999	311	-0.1742	seedling_9d_17	seedling_9d	True	ATMYB15
AT3G24050	840.9123	776.1278	1679	-0.1155		(not in atlas set)	False	GATA1
AT3G24120	2276.9999	2089.3563	4343	-0.124		(not in atlas set)	False	
AT3G24520	1706.5301	1552.0135	3390	-0.1368		(not in atlas set)	False	AT-HSFC1
AT3G25990	615.7057	562.1558	1239	-0.131		(not in atlas set)	False	
AT3G26620	928.724	848.7518	1842	-0.1298		(not in atlas set)	False	LBD23
AT3G26790	556.5	462.8121	1113	-0.2654	silique_18	silique	True	FUS3
AT3G27010	277.4982	252.3726	563	-0.1364		(not in atlas set)	False	AT-TCP20
AT3G27785	1192.9291	1031.4586	2388	-0.2096	silique_15	silique	True	ATMYB118
AT3G28910	667.6114	597.893	1351	-0.1589		(not in atlas set)	False	ATMYB30
AT3G28920	1966.6961	1730.6224	3768	-0.1844		(not in atlas set)	False	AtHB34
AT3G30210	584.0	520.066	1168	-0.167		(not in atlas set)	False	ATMYB121
AT3G30530	89.0462	83.1135	186	-0.0983		(not in atlas set)	False	ATBZIP42
AT3G42860	767.5	693.2583	1535	-0.1466		(not in atlas set)	False	
AT3G44480	1513.9242	1388.244	2990	-0.1249		(not in atlas set)	False	cog1
AT3G45150	234.961	206.4646	471	-0.1857		(not in atlas set)	False	TCP16
AT3G45170	190.0	177.2029	380	-0.1001		(not in atlas set)	False	GATA14
AT3G45610	1928.9233	1763.9317	3732	-0.1289	silique_15	silique	True	DOF6
AT3G46070	61.0	56.6339	122	-0.1054		(not in atlas set)	False	
AT3G46590	538.9946	503.6215	1095	-0.0977		(not in atlas set)	False	ATTRP2
AT3G47500	1728.4385	1583.7043	3361	-0.1261		(not in atlas set)	False	CDF3
AT3G47600	208.5	184.317	417	-0.177		(not in atlas set)	False	ATMYB94
AT3G47620	37.5	35.3327	75	-0.0836		(not in atlas set)	False	AtTCP14
AT3G48160	128.9897	122.246	246	-0.0769		(not in atlas set)	False	DEL1
AT3G49530	1362.5	1189.4961	2725	-0.1958		(not in atlas set)	False	ANAC062
AT3G49930	36.0	32.3829	72	-0.1484		(not in atlas set)	False	
