kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	5	0.153	0.809			AT5G05790	-0.409	0.074	0.186	0.112	0.0059
2way	5	0.153	0.809			AT5G06839	-0.0	0.141	0.273	0.133	0.00658
2way	5	0.153	0.809			AT1G14687	-0.896	0.081	0.193	0.111	0.0072
2way	5	0.153	0.809			AT5G06960	-0.0	0.052	0.149	0.097	0.00723
2way	5	0.153	0.809			AT3G12250	-0.0	0.156	0.286	0.13	0.00818
2way	5	0.153	0.809			AT3G52440	-0.392	0.089	0.199	0.11	0.00867
2way	5	0.153	0.809			AT5G09410	-1.056	0.037	0.124	0.087	0.011
2way	5	3.62	1.369			AT4G29230	1.16	0.636	0.319	-0.318	0.012
2way	5	0.153	0.809			AT1G08320	-0.252	0.163	0.286	0.123	0.013
2way	5	0.153	0.809			AT5G04390	-0.0	0.007	0.068	0.061	0.014
2way	5	0.153	0.809			AT4G25470	0.432	0.185	0.087	-0.098	0.016
2way	5	0.153	0.809			AT3G30530	-0.0	0.0	0.043	0.043	0.017
2way	5	0.153	0.809			AT5G51990	0.934	0.215	0.112	-0.103	0.017
2way	5	0.153	0.809			AT3G10580	-0.062	0.133	0.248	0.115	0.018
2way	5	3.62	1.369			AT1G53170	-1.477	0.0	0.217	0.217	0.018
2way	5	0.153	0.809			AT5G58900	-0.0	0.17	0.292	0.122	0.019
2way	5	0.153	0.809			AT3G11280	-0.0	0.074	0.168	0.094	0.021
2way	5	0.153	0.809			AT1G69010	0.144	0.274	0.161	-0.113	0.022
2way	5	0.153	0.809			AT5G18560	-0.0	0.044	0.124	0.08	0.022
2way	5	0.153	0.809			AT5G11260	-0.0	0.193	0.311	0.118	0.023
2way	5	0.153	0.809			AT5G61600	-0.0	0.007	0.056	0.048	0.024
2way	5	0.153	0.809			AT1G71450	-0.344	0.17	0.286	0.115	0.027
2way	5	0.153	0.809			AT2G15740	-0.0	0.067	0.149	0.082	0.027
2way	5	0.153	0.809			AT5G45580	-0.65	0.111	0.211	0.1	0.027
2way	5	0.153	0.809			AT5G47660	-0.266	0.037	0.106	0.069	0.027
2way	5	0.153	0.809			AT2G36270	0.532	0.222	0.342	0.119	0.028
2way	5	0.153	0.809			AT5G29000	-0.455	0.119	0.217	0.099	0.03
2way	5	0.153	0.809			AT1G27730	-1.287	0.03	0.093	0.064	0.032
2way	5	0.153	0.809			AT3G24120	-0.0	0.096	0.186	0.09	0.032
2way	5	0.153	0.809			AT5G13910	-0.0	0.0	0.037	0.037	0.033
2way	5	3.62	1.369			AT5G51990	-0.216	0.0	0.188	0.188	0.033
2way	5	0.153	0.809			AT1G12610	0.196	0.104	0.037	-0.066	0.034
2way	5	0.153	0.809			AT3G10800	-0.0	0.104	0.199	0.095	0.035
2way	5	0.153	0.809			AT1G28160	-0.0	0.104	0.193	0.089	0.036
2way	5	0.153	0.809			AT5G64750	-0.0	0.081	0.168	0.086	0.036
2way	5	3.62	1.369			AT4G25480	-1.017	0.0	0.203	0.203	0.036
2way	5	0.153	0.809			AT1G19040	-0.0	0.03	0.0	-0.03	0.042
2way	5	0.153	0.809			AT3G20310	-0.814	0.148	0.248	0.1	0.042
2way	5	0.153	0.809			AT2G45650	-0.079	0.007	0.05	0.042	0.043
2way	5	0.153	0.809			AT3G23210	0.94	0.067	0.019	-0.048	0.043
2way	5	0.153	0.809			AT3G28920	-0.7	0.096	0.18	0.084	0.045
2way	5	0.153	0.809			AT5G23930	-0.0	0.096	0.18	0.084	0.045
2way	5	0.153	0.809			AT1G16490	-0.0	0.133	0.062	-0.071	0.046
2way	5	0.153	0.809			AT3G15210	-0.0	0.163	0.261	0.098	0.047
2way	5	0.153	0.809			AT3G61250	-0.0	0.044	0.006	-0.038	0.05
2way	5	0.153	0.809			AT4G25490	-0.0	0.2	0.118	-0.082	0.055
2way	5	3.62	1.369			AT1G49010	-0.0	0.182	0.043	-0.138	0.056
2way	5	3.62	1.369			AT5G58900	0.351	0.182	0.043	-0.138	0.056
2way	5	0.153	0.809			AT1G31140	-0.218	0.089	0.168	0.079	0.057
2way	5	0.153	0.809			AT1G79180	-0.0	0.074	0.025	-0.049	0.057
2way	5	0.153	0.809			AT3G21890	-0.481	0.067	0.137	0.07	0.058
2way	5	3.62	1.369			AT5G64060	0.853	0.455	0.232	-0.223	0.059
2way	5	0.153	0.809			AT5G56110	-0.0	0.178	0.099	-0.078	0.06
2way	5	3.62	1.369			AT2G45410	-0.526	0.0	0.159	0.159	0.06
2way	5	3.62	1.369			AT1G19210	-0.0	0.0	0.174	0.174	0.063
2way	5	3.62	1.369			AT3G15210	-0.178	0.0	0.174	0.174	0.063
2way	5	3.62	1.369			AT3G50410	-0.824	0.0	0.174	0.174	0.063
2way	5	3.62	1.369			AT4G25470	-0.0	0.0	0.174	0.174	0.063
2way	5	0.153	0.809			AT2G17410	-1.05	0.0	0.031	0.031	0.065
2way	5	0.153	0.809			AT5G67580	-0.0	0.037	0.093	0.056	0.065
