kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT3G25990	-0.188	0.015	0.019	0.004	0.691
2way	0	0.0	1.065			AT1G03840	0.353	0.035	0.028	-0.006	0.693
2way	0	0.0	1.065			AT2G22540	0.0	0.049	0.056	0.008	0.694
2way	0	0.0	1.065			AT2G45680	0.0	0.007	0.01	0.003	0.699
2way	0	0.0	1.065			AT3G28920	0.0	0.058	0.051	-0.007	0.699
2way	0	0.0	1.065			AT5G13910	0.0	0.006	0.009	0.003	0.699
2way	0	0.0	1.065			AT1G28160	-0.279	0.058	0.066	0.008	0.705
2way	0	0.0	1.065			AT2G17900	0.0	0.001	0.001	0.0	0.706
2way	0	0.0	1.065			AT2G46400	0.0	0.006	0.003	-0.003	0.706
2way	0	0.0	1.065			AT3G13040	0.0	0.002	0.002	-0.0	0.706
2way	0	0.0	1.065			AT3G22780	0.0	0.003	0.001	-0.003	0.706
2way	0	0.0	1.065			AT4G28110	0.0	0.002	0.004	0.002	0.706
2way	0	0.0	1.065			AT5G18090	0.0	0.001	0.002	0.001	0.706
2way	0	0.0	1.065			AT5G40330	0.0	0.003	0.003	0.0	0.706
2way	0	0.0	1.065			AT5G42520	0.558	0.003	0.001	-0.003	0.706
2way	0	0.0	1.065			AT1G76110	0.0	0.016	0.021	0.005	0.709
2way	0	0.0	1.065			AT3G12720	0.405	0.033	0.039	0.006	0.714
2way	0	0.0	1.065			AT5G63090	0.776	0.024	0.019	-0.005	0.718
2way	0	0.0	1.065			AT2G06200	-0.106	0.019	0.023	0.004	0.722
2way	0	0.0	1.065			AT1G10720	0.0	0.001	0.002	0.001	0.725
2way	0	0.0	1.065			AT5G62380	0.0	0.033	0.04	0.007	0.725
2way	0	0.0	1.065			AT3G04060	0.0	0.111	0.105	-0.007	0.728
2way	0	0.0	1.065			AT1G69560	0.0	0.009	0.006	-0.003	0.729
2way	0	0.0	1.065			AT3G04070	0.0	0.01	0.012	0.002	0.737
2way	0	0.0	1.065			AT5G14960	-0.781	0.013	0.009	-0.004	0.737
2way	0	0.0	1.065			AT4G36620	0.0	0.003	0.001	-0.002	0.744
