Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT2G41140	-0.3525	0.3798	-0.478	-0.0066	-0.5818	-0.0038	0.4666	0.0037	-0.1749	0.1128	-0.0049	-0.0812	0.008	-0.0184	0.0789	0.0177	-0.5954	-0.7746	0.1163	0.2396	0.1869	0.2651	0.123	0.1755	-0.0667	-0.0652	-0.1019	0.1288
AT2G41150	-0.4519	-0.6837	-0.0156	-0.5976	-0.6265	-0.2476	0.104	-0.1508	0.4802	0.0994	-0.3223	-0.7733	-0.6352	-0.744	-0.2602	-0.3582	-0.1446	0.1263	0.4736	0.6109	0.067	0.2497	0.1741	-0.1708	0.0346	0.0643	-0.0293	-0.2246
AT2G41160	0.5355	0.37	1.0337	0.791	0.2162	0.5727	0.2215	0.6895	0.3881	0.4184	-0.2684	-0.7371	-0.0979	-0.1283	-0.1047	-0.3793	0.5394	0.3586	-0.0939	-0.1479	0.0593	0.0317	-0.113	0.0205	-0.132	-0.116	0.1954	0.3271
AT2G41170	1.1396	1.5347	1.0574	0.9186	0.3053	-0.0123	0.7438	0.3911	0.7237	0.31	0.3721	0.7816	0.3144	0.3743	0.7868	0.5599	-0.3472	-0.0191	0.1344	-0.1386	0.186	-0.0957	-0.048	0.0819	-0.114	0.0956	0.4612	0.1633
AT2G41178	0.1995	-0.6335	-0.2181	-0.1139	-0.1939	0.3194	0.1295	-2.1381	-1.7039	-0.4894	0.8523	1.4074	-1.1448	0.5283	1.6576	0.8585	-1.3337	-1.5083	-0.5234	-1.9711	0.0572	-0.5289	-1.1248	0.5068	-0.191	-0.3826	1.0661	1.1872
AT2G41180	-0.7979	-0.2921	-1.6281	-1.329	-1.2114	-2.7612	-1.4619	-0.5147	-0.1337	-0.4817	-0.7996	-2.7612	1.2685	0.6195	1.2143	1.2259	0.2211	-0.2713	-2.3299	-0.204	-1.1715	0.3421	1.048	-0.6316	0.1639	0.777	0.5932	0.6271
AT2G41190	0.9125	2.2251	0.6121	0.7989	0.6354	0.6411	0.7893	0.5656	0.4023	0.2885	0.6575	0.0121	0.9678	0.5596	3.7615	2.4759	-0.3987	0.206	0.0643	0.2316	1.4791	0.6901	0.9836	-0.0623	-0.171	-0.0642	-0.3698	0.305
AT2G41200	0.3891	0.0324	0.1096	0.0534	0.4186	0.3751	0.2236	0.4793	0.3381	-0.1188	0.5994	0.2913	0.5406	-0.0471	0.4321	-0.0018	-0.009	0.0743	-0.265	-0.0151	-0.4895	-0.3131	0.0787	0.0299	-0.2511	-0.1581	0.0306	-0.2383
AT2G41210	-0.0132	-0.0344	-0.2829	-0.547	0.5022	0.2951	0.6388	0.5952	-0.2667	-0.1854	-0.1527	-1.1539	-0.2733	-0.311	0.0921	0.1043	0.2486	-0.1087	-0.0276	0.0361	0.2407	-0.0504	0.2884	0.0007	0.2231	0.1932	0.3692	0.1653
AT2G41220	-0.2058	0.0497	-0.0644	0.0979	-0.3662	0.0032	-0.1655	-0.1249	0.1797	0.2814	-0.2168	-1.3367	-0.3196	-0.3678	0.0593	0.0327	-0.1848	-0.1006	-0.0417	0.0294	-0.129	0.3064	0.318	0.3662	0.2771	0.1387	0.1721	0.4233
AT2G41240	-1.7224	-0.4886	-0.4745	-2.1886	1.2618	0.0158	-1.6973	0.2412	-0.4247	-0.4376	-1.4039	-0.632	-1.2673	-1.1204	-0.159	-1.501	-0.0256	-0.4061	1.2727	1.6306	0.5699	2.0765	2.2924	3.0322	4.5497	4.4725	-2.8348	3.8302
AT2G41250	-0.3952	0.4225	-0.7149	0.1108	0.3125	0.3442	-0.2942	0.472	-0.6907	-0.1875	-0.0003	0.2486	-0.5049	-1.1098	-0.0367	0.3023	0.242	0.1203	-0.7871	-0.4591	0.7969	0.0385	-0.0594	-0.4661	0.7334	0.4792	0.1439	0.0744
AT2G41290	0.4662	1.0017	0.5688	0.8074	-0.1408	0.0897	0.0919	0.1558	-0.027	0.4045	1.0747	1.2552	1.1952	0.8222	1.0474	1.02	-0.4978	-0.5307	-0.5195	-0.3036	0.0238	0.1724	0.0633	0.1933	0.353	0.2069	-0.794	-0.7041
